gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000206195.10,0,0,0,0,2,0
ENSG00000206203.4,6,7,8,8,5,6
ENSG00000206615.1,0,0,0,0,0,0
ENSG00000206739.1,3,0,0,1,1,2
ENSG00000206813.1,0,0,0,0,0,0
ENSG00000206841.1,0,0,0,0,0,0
ENSG00000207227.1,0,0,0,0,0,0
ENSG00000207343.1,0,0,0,0,0,0
ENSG00000207455.1,0,0,0,0,0,0
ENSG00000207457.1,0,1,0,3,1,0
ENSG00000207575.1,0,0,0,0,0,0
ENSG00000207696.1,0,0,0,0,0,0
ENSG00000207751.1,0,0,0,0,0,0
ENSG00000207780.1,0,0,0,0,0,0
ENSG00000207830.1,0,0,0,0,0,0
ENSG00000207832.1,0,0,0,0,0,0
ENSG00000207833.1,0,0,0,0,0,0
ENSG00000207834.1,0,0,0,0,0,0
ENSG00000207835.1,0,0,0,0,0,0
ENSG00000207836.1,0,0,0,0,0,0
ENSG00000207875.1,0,0,0,0,0,0
ENSG00000207932.1,0,0,2,0,0,0
ENSG00000207945.1,0,0,0,0,0,0
ENSG00000208023.2,0,0,0,0,0,0
ENSG00000209480.1,0,0,0,0,0,0
ENSG00000209482.1,0,0,0,1,0,0
ENSG00000211637.2,0,0,0,0,0,0
ENSG00000211638.2,0,0,0,0,0,0
ENSG00000211639.2,0,0,0,0,0,0
ENSG00000211640.3,0,0,0,0,0,0
ENSG00000211641.2,0,0,0,0,0,0
ENSG00000211642.2,0,0,0,0,0,0
ENSG00000211643.2,0,0,0,0,0,0
ENSG00000211644.2,0,0,0,0,0,0
ENSG00000211645.2,0,0,0,0,0,0
ENSG00000211647.1,0,0,0,0,0,0
ENSG00000211648.2,0,0,0,0,0,0
ENSG00000211649.3,0,0,0,0,0,0
ENSG00000211650.2,0,0,0,0,0,0
ENSG00000211651.3,0,0,0,0,0,0
ENSG00000211652.2,0,0,0,0,0,0
ENSG00000211653.2,0,0,0,0,0,0
ENSG00000211654.2,0,0,0,0,0,0
ENSG00000211655.3,0,0,0,0,0,0
ENSG00000211656.3,0,0,0,0,0,0
ENSG00000211657.3,0,0,0,0,0,0
ENSG00000211658.2,0,0,0,2,0,0
ENSG00000211659.2,0,0,0,0,1,0
ENSG00000211660.3,0,0,0,0,0,0
ENSG00000211661.2,0,0,0,0,0,0
ENSG00000211662.2,0,0,0,0,0,0
ENSG00000211663.2,0,0,0,0,0,0
ENSG00000211664.2,0,0,0,0,0,0
ENSG00000211665.2,0,0,0,0,0,0
ENSG00000211666.2,0,0,0,0,0,0
ENSG00000211667.2,0,0,0,0,0,0
ENSG00000211668.2,0,0,0,0,0,0
ENSG00000211669.2,0,0,0,0,0,0
ENSG00000211670.2,0,0,0,0,0,0
ENSG00000211672.2,0,0,0,0,0,0
ENSG00000211673.2,0,0,0,0,0,0
ENSG00000211674.2,0,0,0,0,0,0
ENSG00000211675.2,0,0,0,0,0,0
ENSG00000211676.2,0,0,0,0,0,0
ENSG00000211677.2,0,0,0,3,0,0
ENSG00000211678.2,0,0,0,0,1,0
ENSG00000211679.2,0,0,0,1,0,0
ENSG00000211680.2,0,0,0,0,0,0
ENSG00000211681.2,0,0,0,0,0,0
ENSG00000211682.2,0,0,0,0,0,0
ENSG00000211683.3,0,0,0,0,0,0
ENSG00000211684.2,0,0,0,0,0,0
ENSG00000211685.3,0,0,0,0,1,0
ENSG00000212102.1,0,0,0,0,0,0
ENSG00000212216.1,0,0,0,0,0,0
ENSG00000212542.1,0,0,0,0,0,0
ENSG00000212569.1,0,0,0,0,0,0
ENSG00000212939.2,0,0,1,12,17,15
ENSG00000213279.2,0,0,0,0,0,0
ENSG00000213683.4,0,0,0,0,0,0
ENSG00000213707.2,1,1,0,0,0,0
ENSG00000213727.3,0,0,0,0,0,0
ENSG00000213752.3,0,0,0,0,0,0
ENSG00000213790.2,1,0,3,3,0,0
ENSG00000213857.3,0,0,0,0,0,0
ENSG00000213888.3,1,0,0,1,0,2
ENSG00000213923.10,0,0,0,0,2,0
ENSG00000214076.3,1,1,1,0,5,0
ENSG00000214093.3,0,0,0,0,0,0
